"","Type","Bedrooms","Bathrooms","mean_price"
"330","Semi-Detached Bungalow-Raised","1","1",1725
"331","Semi-Detached Bungalow-Raised","3","1",2133.33333333333
"332","Semi-Detached Bungalow-Raised","4","2",3150
"333","Semi-Detached Other","1","1",1250
"334","Shared Room Apartment","1","3",1200
"335","Store W/Apt/Offc 2-Storey","1","1",2500
"336","Store W/Apt/Offc 2-Storey","2","1",2975
"337","Store W/Apt/Offc 2-Storey","3","1",1695
"338","Store W/Apt/Offc 2-Storey","3","2",3250
"339","Store W/Apt/Offc 3-Storey","1","1",2500
"340","Store W/Apt/Offc 3-Storey","3","1",2850
"341","Store W/Apt/Offc Apartment","1","1",1650
"342","Store W/Apt/Offc Apartment","2","1",2141.66666666667
"343","Store W/Apt/Offc Apartment","3","3",3989
"344","Store W/Apt/Offc Other","1","1",3500
"345","Triplex 1 1/2 Storey","2","1",2150
"346","Triplex 2-Storey","1","1",1800
"347","Triplex 2-Storey","2","1",2250
"348","Triplex 3-Storey","1","1",2500
"349","Triplex 3-Storey","2","1",2625
"350","Triplex 3-Storey","4","2",5950
"351","Triplex Apartment","1","1",1295
"352","Triplex Apartment","2","1",1999
"353","Triplex Apartment","2","2",2975
"354","Triplex Apartment","3","1",2475
"355","Upper Level 2-Storey","2","1",2319
"356","Upper Level 2-Storey","3","2",4950
"357","Upper Level 3-Storey","2","1",2090
"358","Upper Level 3-Storey","3","2",2995
"359","Upper Level Apartment","1","1",1829.16666666667
"360","Upper Level Apartment","2","1",2439.5
"361","Upper Level Apartment","2","2",4966.33333333333
"362","Upper Level Apartment","5","2",5600
"363","Upper Level Bachelor/Studio","1","1",1650
"364","Upper Level Backsplit 4","2","1",2050
"365","Upper Level Backsplit 4","3","2",2900
"366","Upper Level Other","2","1",2400
"367","Upper Level Other","3","1",3600
