"","Id","Address","Bedrooms","Bathrooms","Type","Price"
"2688","C4342847","22 Leader Lane 541, Toronto","2","2","Condo Apt Apartment",3900
"2689","C4378460","1 King St W 1403, Toronto","2","2","Condo Apt Apartment",3900
"2690","C4331920","21 Iceboat Terr 4702, Toronto","1","1","Condo Apt Apartment",3900
"2691","C4349510","10 Capreol Crt 1108, Toronto","4","2","Condo Apt Apartment",3900
"2692","C4365643","3018 Yonge St 1018, Toronto","3","2","Condo Apt Apartment",3900
"2693","C4362706","38 William Carson Cres 512, Toronto","3","2","Condo Apt Apartment",3900
"2694","C4325117","32 Davenport Rd 414, Toronto","2","2","Condo Apt Apartment",3900
"2695","W4357005","11 Humber Ridge Dr, Toronto","5","4","Detached Sidesplit 3",3900
"2696","W4370829","59 Annie Craig Dr 1103, Toronto","3","2","Condo Apt Apartment",3900
"2697","C4344559","251 Queens Quay W 303, Toronto","2","2","Condo Apt Apartment",3900
"2698","C4385180","33 Bay St 4901, Toronto","2","2","Condo Apt Apartment",3900
"2699","W4396827","68 The Westway, Toronto","4","3","Detached Sidesplit 4",3900
"2700","C4372129","85 Skymark Dr 2704, Toronto","2","3","Condo Apt Apartment",3900
"2701","C4372173","165 Glenforest Rd, Toronto","3","2","Detached 2-Storey",3950
"2702","C4358216","66 Chatsworth Dr, Toronto","5","3","Detached 2 1/2 Storey",3950
"2703","C4331999","148 Munroe Blvd, Toronto","4","3","Detached 1 1/2 Storey",3950
"2704","C4336230","220 Redpath Ave 804, Toronto","2","2","Condo Apt Apartment",3950
"2705","C4394990","60 Colborne St 602, Toronto","2","2","Condo Apt Multi-Level",3950
"2706","C4338289","11 Saguenay Ave Main Fl, Toronto","3","2","Detached 1 1/2 Storey",3950
"2707","W4390015","80 Marine Parade Dr 2503, Toronto","3","2","Condo Apt Apartment",3950
"2708","C4358398","1815 Yonge St 2502, Toronto","3","2","Condo Apt Apartment",3950
"2709","C4359102","18 Yonge St 3804, Toronto","2","2","Condo Apt Apartment",3950
"2710","C4397948","207 Davisville Ave, Toronto","3","3","Att/Row/Twnhouse 2-Storey",3950
"2711","W4365876","2 Aberfoyle Cres 807, Toronto","2","3","Condo Apt Apartment",3950
"2712","C4367721","3133 Bayview Ave, Toronto","4","3","Detached Backsplit 3",3950
"2713","W4383113","100 Poplar Heights Dr, Toronto","5","4","Detached 2-Storey",3950
"2714","W4388516","309 Riverside Dr 1, Toronto","1","2","Multiplex Apartment",3975
"2715","C4383230","65 Harbour Sq 3506, Toronto","2","2","Condo Apt Apartment",3980
"2716","C4384021","525 Queen St W Upper, Toronto","3","3","Store W/Apt/Offc Apartment",3989
"2717","E4295401","11 Hubbard Blvd Upper, Toronto","2","1","Semi-Detached 2-Storey",3990
"2718","C4369585","2181 Yonge St 2505, Toronto","3","2","Condo Apt Apartment",3995
"2719","W4389864","9 Wimbleton Cres, Toronto","3","2","Detached 2-Storey",3995
"2720","C4379853","375 King St 1602, Toronto","3","2","Condo Apt Apartment",3995
"2721","W4382662","110 Marine Parade Dr 1401, Toronto","3","3","Condo Apt Apartment",3995
"2722","C4392857","557 Spadina Rd Upper, Toronto","3","3","Duplex 2-Storey",3995
"2723","C4362445","166 Chaplin Cres, Toronto","5","3","Detached Bungalow-Raised",3999
"2724","C4300957","832 Bay St 4102, Toronto","3","2","Condo Apt Apartment",4000
"2725","C4365492","44 Arnold Ave, Toronto","3","2","Semi-Detached 2-Storey",4000
"2726","C4397220","33 University Ave 2507, Toronto","3","2","Condo Apt Apartment",4000
"2727","C4381693","155 Yorkville Ave 3103, Toronto","2","2","Condo Apt Apartment",4000
"2728","E4395870","15 Blantyre Ave, Toronto","3","3","Detached 1 1/2 Storey",4000
"2729","W4377054","2220 Lake Shore Blvd W Ph06, Toronto","4","2","Condo Apt Apartment",4000
"2730","C4351904","33 Sultana Ave, Toronto","5","2","Detached Bungalow",4000
"2731","C4320842","38 Stewart St 605, Toronto","1","1","Condo Apt Apartment",4000
"2732","C4396561","401 Queens Quay W 105, Toronto","2","2","Condo Apt Apartment",4000
"2733","C4377637","53 Parfield Dr, Toronto","4","3","Detached 2-Storey",4000
"2734","C4391733","297 College St 1221, Toronto","3","2","Condo Apt Apartment",4000
"2735","C4369235","10 Delisle Ave 1107, Toronto","2","2","Condo Apt Apartment",4000
"2736","W4391874","172 Humbercrest Blvd, Toronto","3","2","Duplex 2-Storey",4000
"2737","C4350516","15 Iceboat Terr 2009, Toronto","2","2","Condo Apt Apartment",4000
"2738","C4386940","30 Nelson St 3705, Toronto","3","2","Condo Apt Apartment",4000
"2739","W4362571","75 Thomas Mulholland Dr 1, Toronto","5","4","Att/Row/Twnhouse 3-Storey",4000
"2740","C4378350","155 Yorkville Ave 2403, Toronto","2","2","Comm Element Condo Apartment",4000
"2741","C4394561","75 Portland St 806, Toronto","2","2","Condo Apt Apartment",4000
"2742","C4356629","47 Hove St, Toronto","4","5","Detached 2 1/2 Storey",4000
"2743","C4386169","70 Roehampton Ave, Toronto","2","2","Condo Apt Apartment",4000
"2744","W4340406","65 Decarie Circ, Toronto","5","3","Detached Bungalow",4000
"2745","E4387862","16 Filmic Lane Th3, Toronto","3","3","Condo Townhouse Multi-Level",4000
"2746","C4386438","21 Balmuto St 302, Toronto","2","3","Condo Apt Apartment",4000
"2747","C4379649","615 Adelaide St W, Toronto","3","2","Att/Row/Twnhouse 3-Storey",4000
"2748","C4392374","205 Manning St 214, Toronto","3","2","Condo Apt Apartment",4000
"2749","C4388186","148 Roslin Ave, Toronto","4","2","Detached 2-Storey",4100
"2750","C4332611","88 Harbour St 6710, Toronto","3","2","Condo Apt Apartment",4100
"2751","E4374087","54 Curzon St Th205, Toronto","3","3","Att/Row/Twnhouse 3-Storey",4100
"2752","C4386970","199 Richmond St W 3005, Toronto","3","2","Condo Apt Apartment",4100
"2753","W4370093","80 Marine Parade Dr 903, Toronto","3","2","Condo Apt Apartment",4150
"2754","C4385888","23 Brant St 204, Toronto","2","2","Condo Apt Loft",4195
"2755","E4394339","82 Caroline Ave, Toronto","3","2","Semi-Detached 2-Storey",4200
"2756","C4393047","8 Charlotte St 2603, Toronto","2","2","Condo Apt Apartment",4200
