daydate,count,tone
20161115,425,-0.0011716982951272981
20161116,171,0.67077346195351428
20161117,391,-1.1918862379475694
20161118,278,-0.30090632668994649
20161119,52,-1.6594961133915569
20161120,62,0.21315570681878718
20161121,91,0.74316068513686129
20161122,103,0.73455131269465124
20161123,175,-0.055420566144630409
20161124,141,-0.93699383849158557
20161125,93,-0.069262374424301762
20161126,44,-1.483440835992875
20161127,42,0.68777166794946942
20161128,145,-0.82455687270647415
20161129,252,-0.40455846115232286
20161130,133,-0.023429813972403624
20161201,247,-0.21210403884167717
20161202,134,0.17168093936396525
20161203,65,-0.50723376062003012
20161204,248,-2.5090075621105892
20161205,216,-0.68920859134361789
20161206,157,0.094152808924710965
20161207,188,-0.39005429314420093
20161208,157,0.45892407635376009
20161209,111,0.46204340965551183
20161210,34,0.50896445040939986
20161211,37,-0.12203068507515732
20161212,149,-0.4284441311695239
20161213,143,0.26491440947436085
20161214,168,-0.33008308693647015
20161215,245,-0.80045773135079878
20161216,235,-0.25834743777772684
20161217,72,0.042837133999146709
20161218,23,0.83143937680941016
20161219,109,1.2514517309620945
20161220,103,0.80898672075887479
20161221,144,0.10992706814048191
20161222,167,0.42521147920856545
20161223,188,-0.12881813180373586
20161224,57,-0.40544796828318469
20161225,38,-0.41139973949690334
20161226,29,0.31314020981612395
20161227,163,-1.1122765987163719
20161228,200,-0.98226786231257457
20161229,165,0.093578544029887273
20161230,75,-0.24644556010777549
20161231,29,-0.0885267389982867
20170101,20,-0.576194129376092
20170102,40,0.40989682295091023
20170103,86,0.6219322842389553
20170104,111,0.055168550086709206
20170105,245,-0.48564596981439012
20170106,139,0.055333612931043462
20170107,122,-2.1119902541267641
20170108,98,-1.8368146284162692
20170109,93,-0.71558444246489616
20170110,268,-0.9442383302243158
20170111,338,-0.34029363692716041
20170112,311,-0.3451649847997561
20170113,159,-0.37793405657992746
20170114,47,-0.171165384407524
20170115,54,-1.9036143857222712
20170116,178,-0.47835111038295763
20170117,262,-0.11706339674189643
20170118,145,1.121135303626021
20170119,151,1.3342300866586161
20170120,245,-0.10893885668862487
20170121,74,-1.2122741172484583
20170122,25,-1.2955067301590253
20170123,154,0.37525131749848728
20170124,245,-0.82325567954386136
20170125,157,0.12138275579009553
20170126,209,-0.32991413408911924
20170127,178,-0.073711046360366919
20170128,35,0.16302138227143617
20170129,37,0.55092518558076542
20170130,112,-0.0447544553811576
20170131,199,-0.63610197628173315
20170201,137,0.91003784510434982
20170202,112,0.73214490210702632
20170203,240,-0.32224462453978014
20170204,144,-1.5977248941879043
20170205,105,-1.5859060769515179
20170206,104,-0.094086703663220528
20170207,123,0.14117628621290393
20170208,250,-0.068555896141739237
20170209,246,-0.28177052141541709
20170210,123,-0.059787166778668313
20170211,76,-1.2261282241504263
20170212,88,-0.34553132555046029
20170213,129,0.38157447369665076
20170214,177,-0.38490017043186525
20170215,262,-0.61667731226099232
20170216,211,0.44768686344860975
20170217,180,-0.013816569923976018
20170218,122,-0.237313736186054
20170219,79,-2.4996239135333229
20170220,72,-0.99472501865868235
20170221,213,0.35173162939077374
20170222,167,0.16468936333216286
20170223,186,0.59810658647079773
20170224,163,0.47609647435830227
20170225,60,-0.4025057135461676
20170226,33,0.30964320782757893
20170227,137,0.7300132024794
20170228,179,0.47055832253557583
20170301,210,0.52211089654782283
20170302,284,0.10278381934760657
20170303,307,-0.2150322717318828
20170304,93,-0.45759383558284328
20170305,51,-0.1729712486735841
20170306,279,0.455914683109187
20170307,284,0.0905896956407823
20170308,191,0.729169916683095
20170309,279,1.065004875694088
20170310,253,-1.4715673970476442
20170311,66,-0.97674694515985894
20170312,49,-0.36235315102152982
20170313,173,-0.030862200840775282
20170314,178,-1.0829335901557047
20170315,371,-0.72203148620607993
20170316,220,0.17593706740791473
20170317,154,0.17055279507173668
20170318,53,0.034705790628003663
20170319,26,-1.4743251634970613
20170320,127,0.12361375698886821
20170321,144,0.47781353138603283
20170322,197,0.25849047904792077
20170323,231,-0.33823558566685186
20170324,163,-0.31801474945976194
20170325,56,-1.2657728194300559
20170326,28,-1.5779160540524044
20170327,174,-0.71499177265951519
20170328,197,0.032046421383493666
20170329,215,-0.24077207208327747
20170330,170,-0.25511238482397014
20170331,198,-0.62940846700870468
20170401,103,-1.0267140948359537
20170402,94,-3.8645526027334625
20170403,101,-0.071284597316887341
20170404,185,0.20238807069638309
20170405,360,-0.22549558194179067
20170406,254,-1.0849681409060967
20170407,114,-0.21517280427237681
20170408,38,-0.0655763946405592
20170409,61,-0.32680002141087539
20170410,266,-0.35591524830828941
20170411,169,-0.37485128959264369
20170412,257,-0.19762562336758085
20170413,286,-0.969583478115295
