Id,Address,Bedrooms,Bathrooms,Type,Price
E4353800,"21 Nuffield Dr Lower, Toronto",2,2,Detached Sidesplit 4,1750
E4392061,"633 Kingston Rd #1, Toronto",1,1,Upper Level Apartment,1750
C4353096,"1030 King St W Lph10, Toronto",1,1,Condo Apt Apartment,1750
C4360922,"185 Roehampton Ave 1411, Toronto",1,1,Condo Apt Apartment,1750
W4396102,"60 Annie Craig Dr 311, Toronto",1,1,Condo Apt Apartment,1750
W4341149,"68 Winston Park Blvd 51, Toronto",2,1,Condo Townhouse Stacked Townhse,1750
C4372377,"150 Fairview Mall Dr 1303, Toronto",1,1,Condo Apt Apartment,1750
C4367283,"85 Patricia Ave Bsmnt, Toronto",2,1,Detached 2-Storey,1750
C4363171,"103 Charlton Blvd Lower, Toronto",2,2,Detached Backsplit 3,1750
C4355463,"185 Roehampton Ave 1004, Toronto",1,1,Condo Apt Apartment,1750
C4370666,"185 Roehampton Ave 509, Toronto",2,1,Comm Element Condo Apartment,1750
W4379018,"177 Marion St 3rd Flr, Toronto",1,1,Detached 3-Storey,1750
W4396207,"406 Runnymede Rd # 3, Toronto",1,1,Detached Apartment,1750
C4366307,"128 Fairview Mall Dr 509, Toronto",1,1,Condo Apt Apartment,1750
C4376355,"19 Avondale Ave 212, Toronto",1,1,Condo Apt Bachelor/Studio,1750
C4381425,"170 Sumach St 2110, Toronto",1,1,Condo Apt Apartment,1775
E4382874,"33 Wineva Ave Lower, Toronto",1,1,Lower Level 2-Storey,1775
W4368276,"1189 Lawrence Ave W 8, Toronto",1,1,Upper Level Apartment,1775
W4352681,"105 The Queensway Ave 1209, Toronto",1,1,Condo Apt Apartment,1780
E4351822,"104 Danforth Rd N, Toronto",2,1,Detached Apartment,1785
C4394966,"955 Bay St 526, Toronto",1,1,Condo Apt Apartment,1790
E4391755,"175 Bamburgh Circ 906, Toronto",2,1,Condo Apt Apartment,1790
E4341402,"135 Village Green Sq 1315, Toronto",1,1,Condo Apt Apartment,1790
C4372078,"184 Burbank Dr Bsmt, Toronto",3,1,Detached Apartment,1790
C4342609,"30 Gloucester St 505, Toronto",1,1,Co-Ownership Apt Bachelor/Studio,1795
E4379998,"650 Woodbine Ave 207, Toronto",1,1,Multiplex 3-Storey,1795
C4368570,"225 Sackville St 2611, Toronto",1,1,Condo Apt Bachelor/Studio,1795
C4388178,"118 Chaplin Cres Lower R, Toronto",1,1,Detached Apartment,1795
E4385661,"612 Pape Ave 201, Toronto",2,1,Semi-Detached 2-Storey,1795
C4385722,"50 Lynn Williams St 309, Toronto",1,1,Condo Apt Apartment,1799
C4380361,"509 Spadina Rd Lower, Toronto",1,1,Lower Level 2-Storey,1799
C4395222,"215 Queen St W 909, Toronto",1,1,Condo Apt Apartment,1800
C4376636,"125 Redpath Ave 1002, Toronto",1,1,Condo Apt Apartment,1800
W4397250,"866 Shaw St, Toronto",1,1,Semi-Detached 3-Storey,1800
C4366424,"100 Harbour St 2911, Toronto",1,1,Condo Apt Apartment,1800
C4354555,"263 Gerrard St E 3, Toronto",1,1,Store W/Apt/Offc Apartment,1800
E4390967,"255 Village Green Sq 508, Toronto",1,1,Condo Apt Apartment,1800
C4373392,"87 Peter St 2609, Toronto",1,1,Condo Apt Bachelor/Studio,1800
C4364867,"87 Peter St 4209, Toronto",1,1,Condo Apt Apartment,1800
W4338099,"3 Marine Parade Dr 1705, Toronto",2,1,Condo Apt Apartment,1800
C4358938,"66 Forest Manor Rd 307, Toronto",1,1,Condo Apt Apartment,1800
E4394074,"125 Village Green Sq 3910, Toronto",2,2,Condo Apt Apartment,1800
C4325710,"101 Erskine Ave 1606, Toronto",1,1,Comm Element Condo Apartment,1800
C4389465,"663 Conacher Dr Lower, Toronto",2,1,Lower Level Backsplit 4,1800
C4397318,"68 Shuter St 1911, Toronto",1,1,Condo Apt Apartment,1800
C4397625,"4089 Bathurst St 10, Toronto",2,1,Multiplex Apartment,1800
E4398142,"135 Village Green Sq 815, Toronto",1,1,Condo Apt Apartment,1800
C4371339,"100 Harbour St 4111, Toronto",1,1,Condo Apt Apartment,1800
E4364817,"2352 Queen St E Lower, Toronto",2,1,Triplex Apartment,1800
C4367097,"1 King St W 2711, Toronto",1,1,Condo Apt Apartment,1800
C4373374,"535 Parliament St 302A, Toronto",1,1,Condo Apt Apartment,1800
C4391702,"7 Foursome Cres, Toronto",1,1,Detached Backsplit 4,1800
C4375828,"50 Charles St E 3302, Toronto",1,1,Condo Apt Apartment,1800
C4387843,"225 Sackville St 1202, Toronto",1,1,Condo Apt Apartment,1800
W4384258,"160 Flemington Rd 1213, Toronto",1,1,Condo Apt Apartment,1800
C4383162,"129 Combe Ave Bsmt, Toronto",3,1,Detached 2-Storey,1800
C4389701,"1182 Ossington Ave Lower, Toronto",2,1,Semi-Detached 2 1/2 Storey,1800
C4366957,"154 Gloucester Grve Lower, Toronto",3,1,Detached Bungalow,1800
C4325903,"10 Terrydale Dr Basment, Toronto",2,1,Lower Level Apartment,1800
E4389646,"73 Balfour Ave 1, Toronto",1,1,Triplex 2-Storey,1800
C4390532,"5791 Yonge St N 1206, Toronto",1,1,Condo Apt Apartment,1800
C4364434,"18 Yonge St 1104, Toronto",1,1,Condo Apt Apartment,1800
C4388793,"67 Godstone Rd 111, Toronto",3,2,Att/Row/Twnhouse 2-Storey,1800
W4393932,"173 Varsity Rd, Toronto",1,1,Duplex 2 1/2 Storey,1800
C4386362,"260 Sackville St # Ph04, Toronto",1,1,Condo Apt Apartment,1800
C4369822,"19 Avondale Ave Uph04, Toronto",1,1,Condo Apt Bachelor/Studio,1800
E4390926,"185 Bonis Ave 903, Toronto",1,1,Condo Apt Apartment,1800
C4393804,"30 Harrison Garden Blvd 601, Toronto",1,1,Condo Apt Apartment,1800
W4374368,"10 Wadsworth Blvd 7, Toronto",2,1,Detached 3-Storey,1800
C4387902,"290 Adelaide St W 1403, Toronto",1,1,Condo Apt Apartment,1800
W4339336,"1621 Eglinton Ave W Upper, Toronto",2,1,Upper Level Apartment,1800
C4394947,"18 Kenaston Gdns 1401, Toronto",1,1,Condo Apt Apartment,1800
C4350819,"126 Simcoe St 306, Toronto",1,1,Condo Apt Apartment,1800
E4393597,"480 Mclevin Ave 305, Toronto",1,1,Comm Element Condo Multi-Level,1800
C4368550,"21 Carlton St 2608, Toronto",1,1,Condo Apt Apartment,1800
C4355239,"55 Regent Park Blvd 2311, Toronto",1,1,Condo Apt Apartment,1825
C4375658,"98 Lillian St 419, Toronto",1,1,Condo Apt Apartment,1825
W4317764,"2 Vena Way 1609, Toronto",2,1,Other Apartment,1850
E4377734,"125 Village Green Sq 2812, Toronto",1,1,Condo Apt Apartment,1850
C4379919,"125 Redpath Ave 317, Toronto",1,1,Condo Apt Apartment,1850
E4362291,"35 Strangford Lane 105, Toronto",2,2,Condo Townhouse Stacked Townhse,1850
C4375831,"10 Ferndale Ave 1, Toronto",1,1,Multiplex Apartment,1850
W4317765,"2 Vena Way 1409, Toronto",2,1,Other Apartment,1850
C4391767,"55 Regent Park Blvd 1310, Toronto",1,1,Condo Apt Apartment,1850
C4395948,"125 Redpath Ave 1902, Toronto",1,1,Condo Apt Apartment,1850
C4396468,"23 Eldora Ave 80, Toronto",2,2,Condo Townhouse Stacked Townhse,1850
C4371155,"18 Yonge St 1604, Toronto",1,1,Condo Apt Apartment,1850
C4393302,"50 Charles St E 4402, Toronto",1,1,Condo Apt Apartment,1850
C4366396,"121 Mcmahon Dr 2007, Toronto",2,1,Condo Apt Apartment,1850
C4396994,"101 Charles St E 3507, Toronto",1,1,Condo Apt Bachelor/Studio,1850
C4393521,"125 Redpath Ave E 517, Toronto",1,1,Condo Apt Apartment,1850
E4396163,"175 Bamburgh Circ 1601, Toronto",2,1,Condo Apt Apartment,1850
C4382797,"1030 King St W 453, Toronto",1,1,Condo Apt Apartment,1850
C4394358,"181 Dundas St E 511, Toronto",1,1,Condo Apt Apartment,1850
W4373236,"36 Howard Park Ave 309, Toronto",1,1,Condo Apt Apartment,1850
E4370676,"83 Borough Dr 404, Toronto",1,1,Condo Apt Apartment,1850
C4372249,"70 Temperance St 4705, Toronto",1,1,Condo Apt Apartment,1850
C4383718,"128 Fairview Mall Dr 302, Toronto",1,1,Condo Apt Apartment,1850
C4378996,"5 St Joseph St 315, Toronto",1,1,Condo Apt Apartment,1850
C4382112,"25 Carlton St 2901, Toronto",1,1,Condo Apt Apartment,1850
C4347290,"39 Brant St 922, Toronto",1,1,Condo Apt Loft,1850
C4392255,"169 Fort York Blvd 517, Toronto",1,1,Condo Apt Multi-Level,1850
C4366395,"460 Adelaide St E 1603, Toronto",1,1,Condo Apt Apartment,1850
W4395570,"93 The Queensway Ave 56, Toronto",1,1,Condo Townhouse Stacked Townhse,1850
C4382726,"432 St Clarens Ave 303, Toronto",1,1,Upper Level Apartment,1850
C4380232,"2756 Old Leslie St 615, Toronto",1,1,Condo Apt Apartment,1850
W4391685,"2464 Weston Rd 701, Toronto",1,1,Condo Apt Apartment,1850
W4317763,"2 Vena Way 1509, Toronto",2,1,Other Apartment,1850
W4387287,"4 Superior Ave 18, Toronto",1,1,Condo Apt Apartment,1850
C4381047,"32 Trolley Cres 1223, Toronto",1,1,Condo Apt Apartment,1850
C4395908,"50 Charles St E 3604, Toronto",1,1,Condo Apt Apartment,1850
C4390210,"38 Rock Fernway Frwy 38, Toronto",3,2,Condo Townhouse 2-Storey,1850
C4384751,"121 Mcmahon Dr 1902, Toronto",2,1,Condo Apt Apartment,1850
C4351062,"378 Lippincott St Main R, Toronto",1,1,Detached Apartment,1850
W4391226,"160 Flemington Rd 414, Toronto",1,1,Condo Apt Apartment,1850
E4393853,"36 Lee Centre Dr 2015, Toronto",2,1,Condo Apt Apartment,1850
C4361519,"22 Olive Ave 705, Toronto",1,1,Condo Apt Apartment,1850
C4351061,"378 Lippincott St Main F, Toronto",1,1,Detached Apartment,1850
C4383586,"35 Finch Ave E 1706, Toronto",1,1,Condo Apt Apartment,1850
C4385709,"37 Grosvenor St 805, Toronto",1,1,Condo Apt Apartment,1860
C4380598,"75 The Donway West 404, Toronto",1,1,Condo Apt Apartment,1870
C4386482,"128 Fairview Mall Dr 507, Toronto",1,1,Condo Apt Apartment,1875
W4367383,"2538 Weston Rd Upper, Toronto",2,1,Other Apartment,1875
W4387833,"4 Superior Ave 49, Toronto",1,1,Other Multi-Level,1875
C4394510,"38 Grenville St 705, Toronto",1,1,Condo Apt Apartment,1875
W4367384,"830 Lawrence Ave W 1512, Toronto",1,1,Condo Apt Apartment,1875
C4370776,"21 Nelson St 524, Toronto",1,1,Condo Apt Apartment,1875
C4385644,"21 Nelson St 422, Toronto",1,1,Condo Apt Apartment,1875
E4370518,"4 Sylla Ave Bsmt, Toronto",3,2,Detached Bungalow,1890
C4391496,"5 Concorde Pl 1310, Toronto",2,1,Condo Apt Apartment,1890
C4381126,"1 King St W 2602, Toronto",1,1,Condo Apt Bachelor/Studio,1895
E4396545,"1190 Dundas St E 509, Toronto",1,1,Condo Apt Apartment,1895
C4329370,"57 St Joseph St 1304, Toronto",1,1,Condo Apt Apartment,1895
W4393961,"6 Drummond St 307, Toronto",1,1,Condo Townhouse Stacked Townhse,1900
C4378309,"128 Fairview Mall Dr 907, Toronto",1,1,Condo Apt Apartment,1900
C4393612,"30 Herons Hill Way 1008, Toronto",1,1,Condo Apt Apartment,1900
C4371421,"11 Brunel Crt 4905, Toronto",1,1,Condo Apt Apartment,1900
C4367651,"100 Harbour St 3208, Toronto",1,1,Condo Apt Apartment,1900
C4369375,"215 Queen St W 1609, Toronto",1,1,Condo Apt Apartment,1900
C4394627,"38 Grenville St 2605, Toronto",1,1,Condo Apt Apartment,1900
C4366079,"720 Spadina Ave 1012, Toronto",1,1,Co-Op Apt Apartment,1900
C4391812,"17 Dundonald St 406, Toronto",1,1,Condo Apt Apartment,1900
C4392529,"125 Redpath Ave 1802, Toronto",1,1,Condo Apt Apartment,1900
C4392203,"125 Redpath Ave 1713, Toronto",1,1,Condo Apt Apartment,1900
C4341447,"25 Carlton St 2401, Toronto",1,1,Condo Apt Bachelor/Studio,1900
W4382984,"15 Zorra St 2110, Toronto",1,1,Condo Apt Apartment,1900
C4395255,"181 Dundas St E 5001, Toronto",2,1,Comm Element Condo Apartment,1900
C4366523,"215 Queen St W 2012, Toronto",1,1,Condo Apt Apartment,1900
C4394101,"125 Redpath Ave 808, Toronto",1,1,Condo Apt Apartment,1900
C4373975,"111 Elizabeth St 1532, Toronto",1,1,Condo Apt Apartment,1900
C4385725,"111 Bathurst St 1104, Toronto",1,1,Condo Apt Apartment,1900
